,ciphertext,degrees_ranked
368,~01be499c151051dbbc,Masters
369,~01b6b54db5bfcb07c7,Bachelors
370,~014cb3248fb7b9b12e,
371,~011b7c4e535e99e01b,Masters
372,~0193de708993877cb2,Bachelors
373,~01f2b5d8fe9f155ba5,Masters
374,~01223b17b2d46c5af8,Masters
375,~01d0f5b2d238e95257,Bachelors
376,~010793180547864abd,PhD
377,~01b2299d3d2b47867e,Masters
378,~01e42d92cec9d96b79,Masters
379,~0120ceca3ee3a2f8e5,Masters
380,~0118ad4a7488d084e9,Masters
381,~01ed84a06695e00f1c,Bachelors
382,~010cbd29be6c2796aa,Masters
383,~0148bd2cdfb7b4b49a,Masters
384,~01d8648beb7f672371,Masters
385,~01d7adfef350bc2657,Masters
386,~018331798169a93e4c,Masters
387,~01f0b6cd3da392d5db,Bachelors
388,~01491f79b7a9bfb391,Masters
389,~01fdfa91bee779cc55,Masters
390,~01c17e75a20606b860,Masters
391,~01f5477827f92fed97,
392,~01d57104c700e4d2e0,Bachelors
393,~01127f19ae56592b33,Masters
394,~017150b052b2155372,PhD
395,~01cb81c125a426e695,Masters
396,~01635dd6f0e35eceeb,
397,~015a9c31a9396d8e84,Bachelors
398,~01af8c94625ca0042b,Bachelors
399,~01466f61e06f5cc425,Bachelors
400,~01a3301a748558983e,Bachelors
401,~016084beac7ae8cab9,Bachelors
402,~0113abe94d86353cab,Bachelors
403,~0110b97743f412e994,Bachelors
404,~015558a630240a27de,Bachelors
405,~0131380f3e85d7379f,Bachelors
406,~01ddffea684f18c414,Masters
407,~014811c58e8645f2fd,Masters
408,~01cc1d56491b2fb488,Masters
409,~01eeb1a1db5b60545f,Bachelors
410,~01cb5febc098edb64a,PhD
411,~011de465f096da33df,Masters
412,~01504e22a7c795c395,Masters
413,~016743d519e5a0b468,Masters
414,~0151fb3ac88910a7a9,Bachelors
415,~01516bead46b0cd203,Masters
416,~013a9a6d56d139211d,
417,~01bb09a625abb8fad6,Masters
418,~01e190f41fb84f5eca,PhD
419,~01398f3f49cc25eb8d,PhD
420,~0117f3f452853e6829,Masters
421,~01bed5328cf08773cb,Bachelors
422,~0107333a32a582c723,PhD
423,~01e405290d4aca6762,Masters
424,~01da9bac8f07a39330,Masters
425,~01d43873ad7da30eba,Masters
426,~015789e45e0afd75be,Masters
427,~011f579f097b05b644,Masters
428,~014c6dabc7c3bfb80e,Bachelors
429,~017d84cdbe49560f94,Masters
430,~0195f2fe822423d783,
431,~01392ba18ec8c20823,Bachelors
432,~0106a4e2161f4b3229,Masters
433,~01176c0afe7d104ae7,Bachelors
434,~01aa5d88c335492ed9,Masters
435,~01bcf4430383ad45ff,Bachelors
436,~01559e7fcd5a906259,Masters
437,~0154bc7e4654da3ae7,Bachelors
438,~0131152783b7b23f44,Bachelors
439,~01b13443eabe3de108,PhD
440,~012a2ec8d68703b73f,Bachelors
441,~01094a343fce966d7f,Bachelors
442,~01a242d6ee42b995ad,Bachelors
443,~01308381b7cbc62757,Masters
444,~01b7fd06442e573a0c,Masters
445,~01ed8baa52d30031ad,Bachelors
446,~01bd812485e614b174,Bachelors
447,~0131ace19dc20bc6d3,Masters
448,~0161c05e9255e9712b,
449,~0162529abd8fc2dbb3,PhD
450,~0196fcf909ff4a7751,
451,~019589a78391257271,PhD
452,~016c2d262a45467dea,Masters
453,~01ae89ad5fda868f64,PhD
454,~01b10a801f2c6d5098,Masters
455,~01de9f49dd4d38d676,Masters
456,~012a3700af2877ae86,Masters
457,~01020e483bd578e245,Masters
458,~01b1db491aa75c38b7,Bachelors
459,~0160401fad784f4dbc,Masters
460,~01d063f067a422989c,PhD
461,~017ad34ebd7eb7f8be,
462,~01cf50cddb7c5df58f,Masters
463,~01a5e25e5e12db97ac,Masters
464,~0113b186b5f54594ab,
465,~01869b400d7a45554d,Bachelors
466,~01f6cbf8b4064e85e0,Bachelors
467,~01f6c469d57a0cf5bd,Masters
468,~015d2f3683959aca09,Masters
469,~011921e1b3be5b0569,Bachelors
470,~019887760bf5916037,Bachelors
471,~018c1229fdae6f2bcc,Bachelors
472,~017165b44cb7c86d4a,Masters
473,~01dcf39f271acf9627,Bachelors
474,~01224c3f743b10a1e6,Bachelors
475,~01606ca96d78518ce5,Masters
476,~01f1ec7671d7f75519,Bachelors
477,~0125cae7c8a1118da4,Bachelors
478,~01c977b9f31580cd11,Masters
479,~01b68081d5707747e0,Bachelors
480,~01ba7bb4ac54e25ed6,Masters
481,~0173843e774070b96e,Bachelors
482,~0138f9cbd759115ac7,Bachelors
483,~01014f682f9ce8f185,Masters
484,~01e64cca742968de3b,PhD
485,~01a0516d4d920fdc87,Masters
486,~018825474ac727c539,Masters
487,~01b56ae2c65cb9902a,Masters
488,~016f1b40ca510353ad,Bachelors
489,~01164ed375441ba0d9,
490,~014b4e9c6c98950a30,Bachelors
491,~0185395568b11c6fb7,Bachelors
492,~0196f7dc119cc70ed9,Masters
493,~0177049180266dd4ee,Bachelors
494,~0185676401557596c5,Bachelors
495,~014956f0eb88a5cabb,PhD
496,~01a7f2d43fd0b7d6b9,Bachelors
497,~0148d51f91e26a0e0d,Bachelors
498,~010fe5704b84582941,Bachelors
499,~019d6d58a986b8d67f,Bachelors
500,~01c8ea1878782ad163,Associates
501,~017dd16578e84509d2,Masters
502,~010e7426634d03dbfb,
503,~01d2410fce52cf5cd3,Masters
504,~011a1c355040b9eda4,Bachelors
505,~016d2e61604f311996,Bachelors
